Member,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Philippines,Tariff,Yes,1,Yes,7,Yes,7,Yes,7,Yes,7,Yes,7,Yes,7,Yes,7,Yes,7,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Qatar,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,4,Yes,,Yes,,Yes*,,,
,Imports,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
Russian Federation,Tariff,Yes,,Yes,,Yes,14,Yes,14,Yes,6,Yes,,Yes,5,,,,,Yes,10
,Imports,-a,,-a,,,,,,,,,,,,Yes*,,n.a.,,n.a.,
Rwanda,Tariff,Yes,2,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,n.a.,,n.a.,
Saint Kitts and Nevis,Tariff,Yes,,Yes,,Yes,1,Yes,1,Yes,4,Yes,2,Yes,2,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes,,Yes*,,Yes*,,n.a.,
Saint Lucia,Tariff,Yes,,Yes,,Yes,1,Yes,1,Yes,1,Yes,1,Yes,2,,,,,,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Saint Vincent and the Grenadines,Tariff,Yes,,Yes,,Yes,1,Yes,1,,,Yes,2,Yes,2,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes*,,,,,,,,n.a.,,n.a.,
Samoa,Tariff,-a,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,,
,Imports,-a,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,n.a.,,n.a.,
"Saudi Arabia, Kingdom of",Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Senegal,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Seychelles,Tariff,-a,,-a,,-a,,-a,,-a,,Yes,2,Yes,3,Yes,3,Yes,3,,
,Imports,-a,,-a,,-a,,-a,,-a,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Sierra Leone,Tariff,Yes,1,Yes,1,Yes,1,,,Yes,,Yes,,Yes,,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes*,,Yes,,Yes,,,,,,n.a.,,n.a.,
Singapore,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Solomon Islands,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,,,Yes,2,Yes,2,,,,,,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
South Africa,Tariff,Yes,4,Yes,4,Yes,4,Yes,4,Yes,3,Yes,4,Yes,4,Yes,5,Yes,5,Yes,5
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
Sri Lanka,Tariff,Yes,9,Yes,9,Yes,9,Yes*,Yes*,Yes,9,Yes,9,Yes,9,Yes,9,,,,
,Imports,Yes,,Yes,,Yes,,Yes*,,Yes,,Yes,,,,,,n.a.,,n.a.,
Suriname,Tariff,Yes,,Yes,,Yes,1,Yes,1,Yes,,Yes,,Yes,,,,,,,
,Imports,Yes,,Yes,,,,,,Yes,,Yes,,Yes,,,,n.a.,,n.a.,
Switzerland,Tariff,Yes,26,Yes,28,Yes,30,Yes,33,Yes,32,Yes,42,Yes,42,Yes,42,Yes,42,Yes,44
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
